FR1302,Boeing 737-800,5,189,
FR1310,Boeing 737-800,,,
FR1916,Boeing 737-800,5,189,1688
FR1928,Boeing 737-800,5,189,1688
FR2915,Boeing 737-800,,1268
FR2923,Boeing 737-800,5,189,1733
FR2941,Boeing 737-800,,,
FR3534,Boeing 737-800,,1410
FR563,Boeing 737-800,5,189,3055
FR6063,Boeing 737-800,,,1410
FR6251,Boeing 737-800,,,
FR6269,Boeing 737-800,,,
FR6312,Boeing 737-800,5,189,
FR6456,Boeing 737-800,,,
FR7737,Boeing 737-800,,1511
FR7831,Boeing 737-800,,1218
FR7986,Boeing 737-800,,2364
FR8577,Boeing 737-800,,2446
FR9053,Boeing 737-800,5,189,1410
HV9003,Boeing 737-800,5,189,1458
HV9007,Boeing 737-800,14,189,1831
HV9009,Boeing 737-800,14,189,1358
HV9121,Boeing 737-800,13,189,1458
HV9209,Boeing 737-800,14,189,2393
HV9211,Boeing 737-800,5,189,2393
TB1001,Embraer 190,5,112,1772
TB1003,Embraer 190,5,112,1772
TB1011,Boeing 737,14,148,1733
TB1013,Airbus A320,13,180,1733
TB1071,Boeing 737-800,14,189,1714
TB1101,Embraer 190,5,112,1495
TB1103,Embraer 190,5,112,1495
TB1105,Embraer 190,5,112,1495
TB1111,Boeing 737-800,11,189,1458
TB1113,Airbus A320,9,180,1458
TB1135,Boeing 737-800,5,189,1654
TB1171,Boeing 737-800,10,189,1460
TB1411,Boeing 737,5,148,1268
TB1413,Boeing 737-800,5,189,1268
TB1751,Airbus A320,9,180,3093
TB1753,Boeing 767-300/300ER,23,300,3093
TB1755,Boeing 737-800,5,189,3093
TB1791,Boeing 737-800,18,189,3072
TB1801,Boeing 737-800,5,189,3043
TB1811,Boeing 737-800,5,189,3043
TB1941,Boeing 737,5,148,1831
TB1755,Boeing 737-800,5,189,3093
