flightfare_key,arrivalAirportKey,available_seats
17527,Malaga,1
17690,Brindisi,-1
18070,Ibiza,4
32197,Palermo,-1
32198,Palermo,4
32199,Palermo,5
32200,Palermo,5
32201,Palermo,1
32202,Palermo,3
32203,Palermo,5
32204,Palermo,1
34707,Malaga,-1
34708,Malaga,-1
34709,Malaga,-1
34710,Malaga,-1
34711,Malaga,-1
34712,Malaga,-1
34713,Malaga,-1
34714,Malaga,-1
49681,Rhodos,1
49682,Rhodos,1
49683,Rhodos,5
49684,Rhodos,1
49685,Rhodos,-1
49686,Rhodos,5
49687,Rhodos,-1
49688,Rhodos,1
60299,Malaga,-1
60300,Malaga,-1
60301,Malaga,-1
60302,Malaga,-1
60303,Malaga,-1
60304,Malaga,7
60305,Malaga,-1
60306,Malaga,-1
65712,Napels,2
65713,Napels,-1
65714,Napels,2
65715,Napels,3
65716,Napels,1
65717,Napels,-1
65718,Napels,3
65719,Napels,3
82868,Ibiza,4
82869,Ibiza,7
82870,Ibiza,1
82871,Ibiza,6
82872,Ibiza,3
82873,Ibiza,4
82874,Ibiza,2
87773,Malaga,2
87774,Malaga,2
87775,Malaga,2
87776,Malaga,1
87777,Malaga,4
87778,Malaga,5
87779,Malaga,2
120031,Malaga,2
120032,Malaga,2
142853,Alicante,-1
142854,Alicante,-1
142855,Alicante,-1
142856,Alicante,8
142857,Alicante,-1
142858,Alicante,9
142859,Alicante,-1
142860,Alicante,-1
146601,Alicante,9
146602,Alicante,8
146603,Alicante,-1
146604,Alicante,-1
146605,Alicante,-1
146606,Alicante,-1
146607,Alicante,-1
146608,Alicante,-1
149944,Faro,1
149945,Faro,2
149946,Faro,1
149947,Faro,4
149948,Faro,4
149949,Faro,4
149950,Faro,2
149951,Faro,1
149952,Faro,1
154703,Palma,7
154704,Palma,7
154705,Palma,-1
154706,Palma,-1
154707,Palma,6
154708,Palma,7
154709,Palma,-1
154710,Palma,9
165217,Palma,2
165218,Palma,-1
165219,Palma,1
165220,Palma,3
165221,Palma,2
165222,Palma,-1
165223,Palma,3
165224,Palma,2
166835,Palma,4
166836,Palma,4
166837,Palma,2
166838,Palma,2
166839,Palma,2
166840,Palma,4
166841,Palma,2
166842,Palma,4
170461,Alicante,1
170462,Alicante,3
170463,Alicante,2
170464,Alicante,4
170465,Alicante,4
170466,Alicante,1
170467,Alicante,2
170468,Alicante,1
171048,Tenerife,7
171049,Tenerife,-1
171050,Tenerife,5
171051,Tenerife,5
171052,Tenerife,6
171053,Tenerife,2
171054,Tenerife,-1
171055,Tenerife,9
182069,Napels,3
182070,Napels,1
182071,Napels,2
182072,Napels,1
182073,Napels,5
182074,Napels,3
182075,Napels,4
182076,Napels,5
185793,Malaga,-1
185794,Malaga,-1
185795,Malaga,-1
185796,Malaga,-1
185797,Malaga,-1
185798,Malaga,-1
185799,Malaga,9
185800,Malaga,-1
191553,Faro,2
191554,Faro,4
191555,Faro,4
191556,Faro,4
191557,Faro,3
191558,Faro,3
191559,Faro,3
191560,Faro,3
220341,Tenerife,-1
220342,Tenerife,8
220343,Tenerife,-1
220344,Tenerife,-1
220345,Tenerife,-1
220346,Tenerife,-1
220347,Tenerife,8
220348,Tenerife,-1
245853,Brindisi,-1
245854,Brindisi,-1
245855,Brindisi,-1
245856,Brindisi,-1
245857,Brindisi,-1
245858,Brindisi,-1
245859,Brindisi,-1
258828,Malaga,-1
258829,Malaga,-1
258830,Malaga,9
258831,Malaga,5
258832,Malaga,-1
258833,Malaga,-1
258834,Malaga,-1
258835,Malaga,-1
