flightnumber,arrivalAirportKey,available_seats
TB2281,Kreta,-2
TB1801,Tenerife,-2
TB1451,Ibiza,-2
TB1417,Ibiza,-2
FR1928,Malaga,-2
TB1021,Malaga,-2
TB1161,Malaga,-2
TB1331,Ibiza,-2
FR7986,Kreta,112
TB1113,Alicante,-2
TB1115,Alicante,-2
TB2365,Rhodos,-2
FR6063,Alicante,-2
TB1021,Alicante,-2
TB2251,Kreta,-2
TB1321,Ibiza,-2
TB1431,Palma,-2
HV9007,Faro,-2
TB1001,Malaga,-2
FR2915,Palma,-2
TB1371,Ibiza,-2
TB1187,Alicante,-2
TB2191,Corfu,-2
TB1441,Palma,-2
TB1071,Malaga,-2
FR6269,Palermo,29
TB1451,Palma,-2
FR563,Tenerife,64
FR6251,Corfu,-2
TB1751,Tenerife,-2
TB1413,Palma,-1
TB1013,Malaga,-2
TB1811,Tenerife,-2
TB2367,Rhodos,120
TB1027,Malaga,-2
TB1111,Alicante,-2
FR1310,Napels,-2
TB1135,Alicante,42
TB1161,Alicante,-2
TB2365,Kreta,-2
TB1791,Tenerife,-2
TB1411,Palma,-2
TB1101,Alicante,15
TB1011,Malaga,-1
TB2433,Corfu,-2
TB1103,Alicante,-2
FR1302,Napels,86
TB2341,Rhodos,-2
HV9209,Kreta,-2
TB1003,Malaga,18
HV9003,Alicante,114
FR2941,Faro,50
TB1171,Alicante,20
FR2923,Malaga,-2
HV9009,Ibiza,-2
FR6312,Faro,13
FR8577,Rhodos,-2
TB1753,Tenerife,-1
FR9053,Alicante,36
FR6456,Ibiza,21
FR7831,Palma,27
FR1916,Malaga,70
FR7737,Brindisi,58
FR3534,Alicante,3
TB2283,Kreta,-2
TB1417,Palma,-2
