airline_name,arrivalAirportKey,weekNr,countOfFlights
Ryanair,Kreta,21,144
Ryanair,Kreta,26,144
Ryanair,Kreta,17,84
Ryanair,Kreta,16,56
Ryanair,Kreta,22,144
Ryanair,Kreta,36,144
Ryanair,Kreta,31,144
Ryanair,Kreta,39,144
Ryanair,Kreta,30,144
Ryanair,Kreta,27,144
Ryanair,Kreta,24,144
Ryanair,Kreta,23,144
Ryanair,Kreta,33,144
Ryanair,Kreta,34,144
Ryanair,Kreta,28,144
Ryanair,Kreta,29,144
Ryanair,Kreta,37,144
Ryanair,Kreta,18,112
Ryanair,Kreta,25,144
Ryanair,Kreta,19,138
Ryanair,Kreta,20,144
Ryanair,Kreta,38,144
Ryanair,Kreta,32,144
Ryanair,Kreta,35,144
Ryanair,Kreta,15,28
Ryanair,Kreta,14,2
Ryanair,Corfu,23,288
Ryanair,Corfu,17,48
Ryanair,Corfu,15,20
Ryanair,Corfu,39,288
Ryanair,Corfu,26,288
Ryanair,Corfu,27,288
Ryanair,Corfu,32,288
Ryanair,Corfu,36,288
Ryanair,Corfu,33,288
Ryanair,Corfu,38,288
Ryanair,Corfu,31,288
Ryanair,Corfu,29,288
Ryanair,Corfu,30,288
Ryanair,Corfu,28,288
Ryanair,Corfu,35,288
Ryanair,Corfu,37,288
Ryanair,Corfu,34,288
Ryanair,Corfu,20,72
Ryanair,Corfu,24,288
Ryanair,Corfu,25,288
Ryanair,Corfu,21,72
Ryanair,Corfu,22,144
Ryanair,Corfu,18,62
Ryanair,Corfu,19,72
Ryanair,Corfu,16,34
Ryanair,Corfu,14,6
Ryanair,Alicante,26,936
Ryanair,Alicante,19,972
Ryanair,Alicante,23,1004
Ryanair,Alicante,24,1006
Ryanair,Alicante,36,864
Ryanair,Alicante,18,714
Ryanair,Alicante,27,936
Ryanair,Alicante,25,1006
Ryanair,Alicante,17,378
Ryanair,Alicante,16,296
Ryanair,Alicante,32,936
Ryanair,Alicante,20,1008
Ryanair,Alicante,22,1004
Ryanair,Alicante,21,1008
Ryanair,Alicante,33,936
Ryanair,Alicante,37,864
Ryanair,Alicante,28,936
Ryanair,Alicante,35,864
Ryanair,Alicante,31,936
Ryanair,Alicante,38,864
Ryanair,Alicante,30,936
Ryanair,Alicante,34,936
Ryanair,Alicante,29,936
Ryanair,Alicante,39,936
Ryanair,Alicante,15,136
Ryanair,Alicante,14,8
Ryanair,Malaga,16,272
Ryanair,Malaga,26,1150
Ryanair,Malaga,20,1122
Ryanair,Malaga,21,1122
Ryanair,Malaga,24,1122
Ryanair,Malaga,17,370
Ryanair,Malaga,39,1226
Ryanair,Malaga,27,1150
Ryanair,Malaga,19,1054
Ryanair,Malaga,18,666
Ryanair,Malaga,23,1122
Ryanair,Malaga,25,1122
Ryanair,Malaga,29,1150
Ryanair,Malaga,32,1150
Ryanair,Malaga,34,1150
Ryanair,Malaga,35,1150
Ryanair,Malaga,36,1150
Ryanair,Malaga,28,1150
Ryanair,Malaga,31,1150
Ryanair,Malaga,30,1150
Ryanair,Malaga,33,1150
Ryanair,Malaga,37,1150
Ryanair,Malaga,22,1122
Ryanair,Malaga,38,1150
Ryanair,Malaga,15,126
Ryanair,Brindisi,17,160
Ryanair,Brindisi,16,104
Ryanair,Brindisi,19,232
Ryanair,Brindisi,18,184
Ryanair,Brindisi,24,360
Ryanair,Brindisi,27,360
Ryanair,Brindisi,26,360
Ryanair,Brindisi,25,360
Ryanair,Brindisi,32,360
Ryanair,Brindisi,21,258
Ryanair,Brindisi,22,288
Ryanair,Brindisi,33,360
Ryanair,Brindisi,36,360
Ryanair,Brindisi,30,360
Ryanair,Brindisi,39,360
Ryanair,Brindisi,31,360
Ryanair,Brindisi,29,360
Ryanair,Brindisi,34,360
Ryanair,Brindisi,28,360
Ryanair,Brindisi,35,360
Ryanair,Brindisi,20,258
Ryanair,Brindisi,23,360
Ryanair,Brindisi,38,360
Ryanair,Brindisi,37,360
Ryanair,Brindisi,15,54
Ryanair,Brindisi,14,6
Ryanair,Napels,17,320
Ryanair,Napels,22,648
Ryanair,Napels,24,648
Ryanair,Napels,20,648
Ryanair,Napels,15,106
Ryanair,Napels,27,648
Ryanair,Napels,16,238
Ryanair,Napels,35,648
Ryanair,Napels,21,648
Ryanair,Napels,23,648
Ryanair,Napels,39,648
Ryanair,Napels,25,648
Ryanair,Napels,38,648
Ryanair,Napels,26,648
Ryanair,Napels,36,648
Ryanair,Napels,33,648
Ryanair,Napels,34,648
Ryanair,Napels,29,648
Ryanair,Napels,31,648
Ryanair,Napels,37,648
Ryanair,Napels,32,648
Ryanair,Napels,30,648
Ryanair,Napels,28,648
Ryanair,Napels,19,620
Ryanair,Napels,18,478
Ryanair,Napels,14,6
Ryanair,Faro,23,788
Ryanair,Faro,20,626
Ryanair,Faro,17,266
