airline_name,arrival_airport_iata_code,weekNr,countOfFlights
Ryanair,9,21,144
Ryanair,9,26,144
Ryanair,9,17,84
Ryanair,9,16,56
Ryanair,9,22,144
Ryanair,9,36,144
Ryanair,9,31,144
Ryanair,9,39,144
Ryanair,9,30,144
Ryanair,9,27,144
Ryanair,9,24,144
Ryanair,9,23,144
Ryanair,9,33,144
Ryanair,9,34,144
Ryanair,9,28,144
Ryanair,9,29,144
Ryanair,9,37,144
Ryanair,9,18,112
Ryanair,9,25,144
Ryanair,9,19,138
Ryanair,9,20,144
Ryanair,9,38,144
Ryanair,9,32,144
Ryanair,9,35,144
Ryanair,9,15,28
Ryanair,9,14,2
Ryanair,6,23,288
Ryanair,6,17,48
Ryanair,6,15,20
Ryanair,6,39,288
Ryanair,6,26,288
Ryanair,6,27,288
Ryanair,6,32,288
Ryanair,6,36,288
Ryanair,6,33,288
Ryanair,6,38,288
Ryanair,6,31,288
Ryanair,6,29,288
Ryanair,6,30,288
Ryanair,6,28,288
Ryanair,6,35,288
Ryanair,6,37,288
Ryanair,6,34,288
Ryanair,6,20,72
Ryanair,6,24,288
Ryanair,6,25,288
Ryanair,6,21,72
Ryanair,6,22,144
Ryanair,6,18,62
Ryanair,6,19,72
Ryanair,6,16,34
Ryanair,6,14,6
Ryanair,2,26,936
Ryanair,2,19,972
Ryanair,2,23,1004
Ryanair,2,24,1006
Ryanair,2,36,864
Ryanair,2,18,714
Ryanair,2,27,936
Ryanair,2,25,1006
Ryanair,2,17,378
Ryanair,2,16,296
Ryanair,2,32,936
Ryanair,2,20,1008
Ryanair,2,22,1004
Ryanair,2,21,1008
Ryanair,2,33,936
Ryanair,2,37,864
Ryanair,2,28,936
Ryanair,2,35,864
Ryanair,2,31,936
Ryanair,2,38,864
Ryanair,2,30,936
Ryanair,2,34,936
Ryanair,2,29,936
Ryanair,2,39,936
Ryanair,2,15,136
Ryanair,2,14,8
Ryanair,1,16,272
Ryanair,1,26,1150
Ryanair,1,20,1122
Ryanair,1,21,1122
Ryanair,1,24,1122
Ryanair,1,17,370
Ryanair,1,39,1226
Ryanair,1,27,1150
Ryanair,1,19,1054
Ryanair,1,18,666
Ryanair,1,23,1122
Ryanair,1,25,1122
Ryanair,1,29,1150
Ryanair,1,32,1150
Ryanair,1,34,1150
Ryanair,1,35,1150
Ryanair,1,36,1150
Ryanair,1,28,1150
Ryanair,1,31,1150
Ryanair,1,30,1150
Ryanair,1,33,1150
Ryanair,1,37,1150
Ryanair,1,22,1122
Ryanair,1,38,1150
Ryanair,1,15,126
Ryanair,4,17,160
Ryanair,4,16,104
Ryanair,4,19,232
Ryanair,4,18,184
Ryanair,4,24,360
Ryanair,4,27,360
Ryanair,4,26,360
Ryanair,4,25,360
Ryanair,4,32,360
Ryanair,4,21,258
Ryanair,4,22,288
Ryanair,4,33,360
Ryanair,4,36,360
Ryanair,4,30,360
Ryanair,4,39,360
Ryanair,4,31,360
Ryanair,4,29,360
Ryanair,4,34,360
Ryanair,4,28,360
Ryanair,4,35,360
Ryanair,4,20,258
Ryanair,4,23,360
Ryanair,4,38,360
Ryanair,4,37,360
Ryanair,4,15,54
Ryanair,4,14,6
Ryanair,12,17,320
Ryanair,12,22,648
Ryanair,12,24,648
Ryanair,12,20,648
Ryanair,12,15,106
Ryanair,12,27,648
