Luchthaven,Bestemming,Datum,Vertrektijdstip,Aankomsttijdstip,prijs,duur,aantalStops,vrijePlaatsen,VluchtNr,Flightkey
Brussels (Charleroi),Heraklion Crete,2023-04-01,08:10:00.000,12:35:00.000,304.85,03:25,0,1,FR 7986,FR~7986~ ~~CRL~04/01/2023 08:10~HER~04/01/2023 12:35~~
Brussels (Charleroi),Naples,2023-04-01,07:45:00.000,10:00:00.000,146.7,02:15,0,2,FR 1302,FR~1302~ ~~CRL~04/01/2023 07:45~NAP~04/01/2023 10:00~~
Brussels (Charleroi),Palermo,2023-04-01,21:30:00.000,23:59:00.000,172.8,02:29,0,-1,FR 6269,FR~6269~ ~~CRL~04/01/2023 21:30~PMO~04/01/2023 23:59~~
Brussels (Charleroi),Faro,2023-04-01,11:05:00.000,13:00:00.000,228.49,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~04/01/2023 11:05~FAO~04/01/2023 13:00~~
Brussels (Charleroi),Alicante,2023-04-01,15:50:00.000,18:15:00.000,236.59,02:25,0,2,FR 3534,FR~3534~ ~~CRL~04/01/2023 15:50~ALC~04/01/2023 18:15~~
Brussels (Charleroi),Malaga,2023-04-01,13:35:00.000,16:20:00.000,160.99,02:45,0,1,FR 1916,FR~1916~ ~~CRL~04/01/2023 13:35~AGP~04/01/2023 16:20~~
Brussels (Charleroi),Corfu,2023-04-02,17:00:00.000,20:40:00.000,154.09,02:40,0,-1,FR 6251,FR~6251~ ~~CRL~04/02/2023 17:00~CFU~04/02/2023 20:40~~
Brussels (Charleroi),Brindisi,2023-04-02,17:30:00.000,19:55:00.000,120.88,02:25,0,2,FR 7737,FR~7737~ ~~CRL~04/02/2023 17:30~BDS~04/02/2023 19:55~~
Brussels (Charleroi),Naples,2023-04-02,09:45:00.000,12:00:00.000,164.29,02:15,0,4,FR 1302,FR~1302~ ~~CRL~04/02/2023 09:45~NAP~04/02/2023 12:00~~
Brussels (Charleroi),Faro,2023-04-02,16:45:00.000,18:40:00.000,100.59,02:55,0,-1,FR 2941,FR~2941~ ~~CRL~04/02/2023 16:45~FAO~04/02/2023 18:40~~
Brussels (Charleroi),Alicante,2023-04-02,09:55:00.000,12:20:00.000,185.99,02:25,0,5,FR 3534,FR~3534~ ~~CRL~04/02/2023 09:55~ALC~04/02/2023 12:20~~
Brussels (Charleroi),Ibiza,2023-04-02,07:30:00.000,09:55:00.000,149.01,02:25,0,3,FR 6456,FR~6456~ ~~CRL~04/02/2023 07:30~IBZ~04/02/2023 09:55~~
Brussels,Malaga,2023-04-02,09:55:00.000,12:50:00.000,179.69,02:55,0,3,FR 2923,FR~2923~ ~~BRU~04/02/2023 09:55~AGP~04/02/2023 12:50~~
Brussels (Charleroi),Malaga,2023-04-02,21:30:00.000,00:15:00.000,152.92,02:45,0,3,FR 1916,FR~1916~ ~~CRL~04/02/2023 21:30~AGP~04/03/2023 00:15~~
Brussels (Charleroi),Tenerife (South),2023-04-02,12:35:00.000,16:10:00.000,192.56,04:35,0,-1,FR 563,FR~ 563~ ~~CRL~04/02/2023 12:35~TFS~04/02/2023 16:10~~
Brussels (Charleroi),Rhodes,2023-04-03,12:00:00.000,16:35:00.000,197.36,03:35,0,5,FR 8577,FR~8577~ ~~CRL~04/03/2023 12:00~RHO~04/03/2023 16:35~~
Brussels (Charleroi),Brindisi,2023-04-03,20:55:00.000,23:20:00.000,67.54,02:25,0,2,FR 7737,FR~7737~ ~~CRL~04/03/2023 20:55~BDS~04/03/2023 23:20~~
Brussels (Charleroi),Naples,2023-04-03,06:30:00.000,08:45:00.000,127.33,02:15,0,-1,FR 1302,FR~1302~ ~~CRL~04/03/2023 06:30~NAP~04/03/2023 08:45~~
Brussels (Charleroi),Naples,2023-04-03,09:30:00.000,11:45:00.000,142.66,02:15,0,4,FR 1310,FR~1310~ ~~CRL~04/03/2023 09:30~NAP~04/03/2023 11:45~~
Brussels (Charleroi),Palermo,2023-04-03,12:05:00.000,14:35:00.000,168.69,02:30,0,-1,FR 6269,FR~6269~ ~~CRL~04/03/2023 12:05~PMO~04/03/2023 14:35~~
Brussels (Charleroi),Faro,2023-04-03,18:00:00.000,19:55:00.000,87.99,02:55,0,1,FR 2941,FR~2941~ ~~CRL~04/03/2023 18:00~FAO~04/03/2023 19:55~~
Brussels (Charleroi),Alicante,2023-04-03,16:55:00.000,19:20:00.000,176.4,02:25,0,-1,FR 3534,FR~3534~ ~~CRL~04/03/2023 16:55~ALC~04/03/2023 19:20~~
Brussels,Malaga,2023-04-03,17:40:00.000,20:30:00.000,132.66,02:50,0,5,FR 2923,FR~2923~ ~~BRU~04/03/2023 17:40~AGP~04/03/2023 20:30~~
Brussels (Charleroi),Malaga,2023-04-03,19:20:00.000,22:05:00.000,177.79,02:45,0,1,FR 1916,FR~1916~ ~~CRL~04/03/2023 19:20~AGP~04/03/2023 22:05~~
Brussels (Charleroi),Heraklion Crete,2023-04-04,07:20:00.000,11:45:00.000,120.17,03:25,0,3,FR 7986,FR~7986~ ~~CRL~04/04/2023 07:20~HER~04/04/2023 11:45~~
Brussels (Charleroi),Brindisi,2023-04-04,17:20:00.000,19:45:00.000,78.04,02:25,0,-1,FR 7737,FR~7737~ ~~CRL~04/04/2023 17:20~BDS~04/04/2023 19:45~~
Brussels (Charleroi),Naples,2023-04-04,19:20:00.000,21:35:00.000,111.5,02:15,0,1,FR 1302,FR~1302~ ~~CRL~04/04/2023 19:20~NAP~04/04/2023 21:35~~
Brussels (Charleroi),Palermo,2023-04-04,15:35:00.000,18:05:00.000,220.27,02:30,0,-1,FR 6269,FR~6269~ ~~CRL~04/04/2023 15:35~PMO~04/04/2023 18:05~~
Brussels (Charleroi),Faro,2023-04-04,13:45:00.000,15:40:00.000,104.99,02:55,0,2,FR 2941,FR~2941~ ~~CRL~04/04/2023 13:45~FAO~04/04/2023 15:40~~
