Departure,Destination,Date,Departure time,Arrival time,Flightnumber,Duration,Price
Brussels,Corfu,01/04/2023,None,None,None,None,None
Brussels,Corfu,02/04/2023,None,None,None,None,None
Brussels,Corfu,03/04/2023,None,None,None,None,None
Brussels,Corfu,04/04/2023,None,None,None,None,None
Brussels,Corfu,05/04/2023,None,None,None,None,None
Brussels,Corfu,06/04/2023,None,None,None,None,None
Brussels,Corfu,07/04/2023,None,None,None,None,None
Brussels,Corfu,08/04/2023,None,None,None,None,None
Brussels,Corfu,09/04/2023,None,None,None,None,None
Brussels,Corfu,10/04/2023,None,None,None,None,None
Brussels,Corfu,11/04/2023,None,None,None,None,None
Brussels,Corfu,12/04/2023,None,None,None,None,None
Brussels,Corfu,13/04/2023,None,None,None,None,None
Brussels,Corfu,14/04/2023,None,None,None,None,None
Brussels,Corfu,15/04/2023,None,None,None,None,None
Brussels,Corfu,16/04/2023,None,None,None,None,None
Brussels,Corfu,17/04/2023,None,None,None,None,None
Brussels,Corfu,18/04/2023,None,None,None,None,None
Brussels,Corfu,19/04/2023,None,None,None,None,None
Brussels,Corfu,20/04/2023,None,None,None,None,None
Brussels,Corfu,21/04/2023,None,None,None,None,None
Brussels,Corfu,22/04/2023,None,None,None,None,None
Brussels,Corfu,23/04/2023,None,None,None,None,None
Brussels,Corfu,24/04/2023,None,None,None,None,None
Brussels,Corfu,25/04/2023,None,None,None,None,None
Brussels,Corfu,26/04/2023,None,None,None,None,None
Brussels,Corfu,27/04/2023,None,None,None,None,None
Brussels,Corfu,28/04/2023,None,None,None,None,None
Brussels,Corfu,29/04/2023,None,None,None,None,None
Brussels,Corfu,30/04/2023,None,None,None,None,None
Brussels,Corfu,01/05/2023,None,None,None,None,None
Brussels,Corfu,02/05/2023,None,None,None,None,None
Brussels,Corfu,03/05/2023,None,None,None,None,None
Brussels,Corfu,04/05/2023,None,None,None,None,None
Brussels,Corfu,05/05/2023,None,None,None,None,None
Brussels,Corfu,06/05/2023,None,None,None,None,None
Brussels,Corfu,07/05/2023,None,None,None,None,None
Brussels,Corfu,08/05/2023,None,None,None,None,None
Brussels,Corfu,09/05/2023,None,None,None,None,None
Brussels,Corfu,10/05/2023,None,None,None,None,None
Brussels,Corfu,11/05/2023,None,None,None,None,None
Brussels,Corfu,12/05/2023,None,None,None,None,None
Brussels,Corfu,13/05/2023,None,None,None,None,None
Brussels,Corfu,14/05/2023,None,None,None,None,None
Brussels,Corfu,15/05/2023,None,None,None,None,None
Brussels,Corfu,16/05/2023,None,None,None,None,None
Brussels,Corfu,17/05/2023,None,None,None,None,None
Brussels,Corfu,18/05/2023,None,None,None,None,None
Brussels,Corfu,19/05/2023,None,None,None,None,None
Brussels,Corfu,20/05/2023,None,None,None,None,None
Brussels,Corfu,21/05/2023,None,None,None,None,None
Brussels,Corfu,22/05/2023,None,None,None,None,None
Brussels,Corfu,23/05/2023,None,None,None,None,None
Brussels,Corfu,24/05/2023,None,None,None,None,None
Brussels,Corfu,25/05/2023,None,None,None,None,None
Brussels,Corfu,26/05/2023,None,None,None,None,None
Brussels,Corfu,27/05/2023,None,None,None,None,None
Brussels,Corfu,28/05/2023,None,None,None,None,None
Brussels,Corfu,29/05/2023,None,None,None,None,None
Brussels,Corfu,30/05/2023,None,None,None,None,None
Brussels,Corfu,31/05/2023,None,None,None,None,None
Brussels,Corfu,01/06/2023,None,None,None,None,None
Brussels,Corfu,02/06/2023,None,None,None,None,None
Brussels,Corfu,03/06/2023,None,None,None,None,None
Brussels,Corfu,04/06/2023,None,None,None,None,None
Brussels,Corfu,05/06/2023,None,None,None,None,None
Brussels,Corfu,06/06/2023,None,None,None,None,None
Brussels,Corfu,07/06/2023,None,None,None,None,None
Brussels,Corfu,08/06/2023,None,None,None,None,None
Brussels,Corfu,09/06/2023,None,None,None,None,None
Brussels,Corfu,10/06/2023,None,None,None,None,None
Brussels,Corfu,11/06/2023,None,None,None,None,None
Brussels,Corfu,12/06/2023,None,None,None,None,None
Brussels,Corfu,13/06/2023,None,None,None,None,None
Brussels,Corfu,14/06/2023,None,None,None,None,None
Brussels,Corfu,15/06/2023,None,None,None,None,None
Brussels,Corfu,16/06/2023,None,None,None,None,None
Brussels,Corfu,17/06/2023,None,None,None,None,None
Brussels,Corfu,18/06/2023,None,None,None,None,None
Brussels,Corfu,19/06/2023,None,None,None,None,None
Brussels,Corfu,20/06/2023,None,None,None,None,None
Brussels,Corfu,21/06/2023,None,None,None,None,None
Brussels,Corfu,22/06/2023,None,None,None,None,None
Brussels,Corfu,23/06/2023,None,None,None,None,None
Brussels,Corfu,24/06/2023,None,None,None,None,None
Brussels,Corfu,25/06/2023,None,None,None,None,None
Brussels,Corfu,26/06/2023,None,None,None,None,None
Brussels,Corfu,27/06/2023,None,None,None,None,None
Brussels,Corfu,28/06/2023,None,None,None,None,None
Brussels,Corfu,29/06/2023,None,None,None,None,None
Brussels,Corfu,30/06/2023,None,None,None,None,None
Brussels,Corfu,01/07/2023,None,None,None,None,None
Brussels,Corfu,02/07/2023,None,None,None,None,None
Brussels,Corfu,03/07/2023,None,None,None,None,None
Brussels,Corfu,04/07/2023,None,None,None,None,None
Brussels,Corfu,05/07/2023,None,None,None,None,None
